index,단어,pt
141,경쟁력,0.0
142,경제,0.0
143,경제력,0.0
144,경제적,0.0
145,경제학,0.0
146,경찰,0.0
147,경찰관,0.0
148,경찰서,0.0
149,경치,0.0
150,경향,0.0
151,경험,0.0
152,계곡,0.0
153,계단,0.0
154,계란,0.0
155,계산,0.0
156,계산기,0.0
157,계약,0.0
158,계절,0.0
159,계좌,0.0
160,계층,0.0
161,계획,0.0
162,고개,0.0
163,고객,0.0
164,고교,0.0
165,고구마,0.0
166,고궁,0.0
167,고급,0.0
168,고기,0.0
169,고등학교,0.0
170,고등학생,0.0
171,고모,0.0
172,고모부,0.0
173,고무신,0.0
174,고민,0.0
175,고생,0.0
176,고속,0.0
177,고속도로,0.0
178,고속버스,0.0
179,고양이,0.0
180,고장,0.0
181,고전,0.0
182,고집,0.0
183,고추,0.0
184,고추장,0.0
185,고춧가루,0.0
186,고통,0.0
187,고함,0.0
188,고향,0.0
189,곡식,0.0
190,골목,0.0
191,골목길,0.0
192,골짜기,0.0
193,골치,0.0
194,골프,0.0
195,골프장,0.0
196,곳곳,0.0
197,공간,0.0
198,공개,0.0
199,공격,0.0
200,공공,0.0
201,공군,0.0
202,공급,0.0
203,공기,0.0
204,공동,0.0
205,공무원,0.0
206,공부,0.0
207,공사,0.0
208,공식,0.0
209,공식적,0.0
210,공업,0.0
211,공연,0.0
212,공연장,0.0
213,공원,0.0
214,공장,0.0
215,공주,0.0
216,공중,0.0
217,공중전화,0.0
218,공짜,0.0
219,공책,0.0
220,공통,0.0
221,공통적,0.0
222,공통점,0.0
223,공포,0.0
224,공항,0.0
225,공항버스,0.0
226,공해,0.0
227,공휴일,0.0
228,과거,0.0
229,과목,0.0
230,과외,0.0
231,과일,0.0
232,과자,0.0
233,과장,0.0
234,과정,0.0
235,과제,0.0
236,과학,0.0
237,과학자,0.0
238,과학적,0.0
239,관객,0.0
240,관계,0.0
241,관계자,0.0
242,관광,0.0
243,관광객,0.0
244,관광버스,0.0
245,관광지,0.0
246,관념,0.0
247,관람,0.0
248,관람객,0.0
249,관련,0.0
250,관리,0.0
251,관습,0.0
252,관심,0.0
253,관심사,0.0
254,관점,0.0
255,관찰,0.0
256,광경,0.0
257,광고,0.0
258,광장,0.0
259,괴로움,0.0
260,교과서,0.0
261,교내,0.0
262,교대,0.0
263,교류,0.0
264,교문,0.0
265,교복,0.0
266,교사,0.0
267,교수,0.0
268,교실,0.0
269,교양,0.0
270,교외,0.0
271,교육,0.0
272,교육비,0.0
273,교육자,0.0
274,교장,0.0
275,교재,0.0
276,교직,0.0
277,교체,0.0
278,교통,0.0
279,교통사고,0.0
280,교포,0.0
281,교환,0.0
282,교회,0.0
283,교훈,0.0
284,구경,0.0
285,구두,0.0
286,구름,0.0
287,구멍,0.0
288,구별,0.0
289,구분,0.0
290,구석,0.0
291,구석구석,0.0
292,구성,0.0
293,구속,0.0
294,구역,0.0
295,구월,0.0
296,구입,0.0
297,구조,0.0
298,구청,0.0
299,구체적,0.0
300,국가,0.0
301,국가적,0.0
302,국기,0.0
303,국내,0.0
304,국내선,0.0
305,국내외,0.0
306,국립,0.0
307,국물,0.0
308,국민,0.0
309,국민적,0.0
310,국사,0.0
311,국산,0.0
312,국수,0.0
313,국어,0.0
314,국왕,0.0
315,국적,0.0
316,국제,0.0
317,국제선,0.0
318,국제적,0.0
319,국제화,0.0
320,국회,0.0
321,국회의원,0.0
322,군대,0.0
323,군사,0.0
324,군인,0.0
325,궁극적,0.0
326,권리,0.0
327,권위,0.0
328,권투,0.0
329,귀가,0.0
330,귀국,0.0
331,귀신,0.0
332,귓속,0.0
333,규모,0.0
334,규정,0.0
335,규칙,0.0
336,규칙적,0.0
337,균형,0.0
338,그간,0.0
339,그날,0.0
340,그늘,0.0
341,그다음,0.0
342,그동안,0.0
343,그때,0.0
344,그래픽,0.0
345,그룹,0.0
346,그릇,0.0
347,그리움,0.0
348,그림,0.0
349,그림자,0.0
350,그사이,0.0
351,그저께,0.0
352,그전,0.0
353,그중,0.0
354,그해,0.0
355,극복,0.0
356,극작가,0.0
357,극장,0.0
358,근거,0.0
359,근교,0.0
360,근래,0.0
361,근로,0.0
362,근로자,0.0
363,근무,0.0
364,근본,0.0
365,근본적,0.0
366,근원,0.0
367,근육,0.0
368,근처,0.0
369,글쓰기,0.0
370,글씨,0.0
371,글자,0.0
372,금고,0.0
373,금년,0.0
374,금메달,0.0
375,금액,0.0
376,금연,0.0
377,금요일,0.0
378,금지,0.0
379,긍정적,0.0
380,기간,0.0
381,기계,0.0
382,기관,0.0
383,기구,0.0
384,기기,0.0
385,기념,0.0
386,기념일,0.0
387,기념품,0.0
388,기능,0.0
389,기대,0.0
390,기도,0.0
391,기독교,0.0
392,기둥,0.0
393,기록,0.0
394,기름,0.0
395,기법,0.0
396,기본,0.0
397,기본적,0.0
398,기분,0.0
399,기쁨,0.0
400,기사,0.0
401,기성,0.0
402,기성세대,0.0
403,기숙사,0.0
404,기술,0.0
405,기술자,0.0
406,기억,0.0
407,기업,0.0
408,기업인,0.0
409,기여,0.0
410,기온,0.0
411,기운,0.0
412,기원,0.0
413,기원전,0.0
414,기자,0.0
415,기적,0.0
416,기준,0.0
417,기차,0.0
418,기초,0.0
419,기초적,0.0
420,기침,0.0
421,기타,0.0
422,기호,0.0
423,기혼,0.0
424,기회,0.0
425,기획,0.0
426,기후,0.0
427,긴급,0.0
428,긴장,0.0
429,긴장감,0.0
430,길가,0.0
431,길거리,0.0
432,길이,0.0
433,김밥,0.0
434,김치,0.0
435,김치찌개,0.0
436,깊이,0.0
437,까닭,0.0
438,까만색,0.0
439,까치,0.0
440,깍두기,0.0
441,깡패,0.0
442,깨달음,0.0
443,깨소금,0.0
444,껍질,0.0
445,꼬리,0.0
446,꼬마,0.0
447,꼭대기,0.0
448,꽃씨,0.0
449,꽃잎,0.0
450,꾸중,0.0
451,꿈속,0.0
452,나들이,0.0
453,나라,0.0
454,나머지,0.0
455,나무,0.0
456,나물,0.0
457,나뭇가지,0.0
458,나뭇잎,0.0
459,나비,0.0
460,나이,0.0
461,나중,0.0
462,나침반,0.0
463,나흘,0.0
464,낙엽,0.0
465,낚시,0.0
466,낚시꾼,0.0
467,낚싯대,0.0
468,난리,0.0
469,난방,0.0
470,날개,0.0
471,날씨,0.0
472,날짜,0.0
473,남녀,0.0
474,남동생,0.0
475,남매,0.0
476,남부,0.0
477,남북,0.0
478,남성,0.0
479,남자,0.0
480,남쪽,0.0
481,남편,0.0
482,남학생,0.0
483,낭비,0.0
484,낱말,0.0
485,내과,0.0
486,내년,0.0
487,내달,0.0
488,내부,0.0
489,내외,0.0
490,내용,0.0
491,내용물,0.0
492,내일,0.0
493,내적,0.0
494,내후년,0.0
495,냄비,0.0
496,냄새,0.0
497,냇물,0.0
498,냉동,0.0
499,냉면,0.0
500,냉방,0.0
501,냉장고,0.0
502,너머,0.0
503,네거리,0.0
504,넥타이,0.0
505,노동,0.0
506,노동자,0.0
507,노란색,0.0
508,노래,0.0
509,노래방,0.0
510,노랫소리,0.0
511,노력,0.0
512,노선,0.0
513,노인,0.0
514,노트,0.0
515,녹색,0.0
516,녹음,0.0
517,녹차,0.0
518,녹화,0.0
519,논리,0.0
520,논리적,0.0
521,논문,0.0
522,논쟁,0.0
523,놀이,0.0
524,놀이터,0.0
525,농구,0.0
526,농담,0.0
527,농민,0.0
528,농부,0.0
529,농사,0.0
530,농사일,0.0
531,농산물,0.0
532,농업,0.0
533,농장,0.0
534,농촌,0.0
535,높이,0.0
536,누나,0.0
537,눈가,0.0
538,눈길,0.0
539,눈동자,0.0
540,눈물,0.0
541,눈병,0.0
542,눈빛,0.0
543,눈썹,0.0
544,눈앞,0.0
545,뉴스,0.0
546,느낌,0.0
547,늑대,0.0
548,능동적,0.0
549,능력,0.0
550,늦가을,0.0
551,다리,0.0
552,다방,0.0
553,다수,0.0
554,다양성,0.0
555,다음,0.0
556,다이어트,0.0
557,다툼,0.0
558,다행,0.0
559,단계,0.0
560,단골,0.0
561,단독,0.0
562,단맛,0.0
563,단순,0.0
564,단어,0.0
565,단위,0.0
566,단점,0.0
567,단지,0.0
568,단체,0.0
569,단추,0.0
570,단편,0.0
571,단풍,0.0
572,달걀,0.0
573,달러,0.0
574,달력,0.0
575,달리기,0.0
576,달빛,0.0
577,닭고기,0.0
578,담당,0.0
579,담당자,0.0
580,담배,0.0
581,담요,0.0
582,담임,0.0
583,답변,0.0
584,답장,0.0
585,닷새,0.0
586,당근,0.0
587,당시,0.0
588,당장,0.0
589,대가,0.0
590,대개,0.0
591,대규모,0.0
592,대기,0.0
593,대기업,0.0
594,대낮,0.0
595,대다수,0.0
596,대답,0.0
597,대도시,0.0
598,대량,0.0
599,대륙,0.0
600,대문,0.0
601,대부분,0.0
602,대비,0.0
603,대사,0.0
604,대사관,0.0
605,대상자,0.0
606,대신,0.0
607,대응,0.0
608,대입,0.0
609,대접,0.0
610,대중,0.0
611,대중교통,0.0
612,대중문화,0.0
613,대중적,0.0
614,대책,0.0
615,대출,0.0
616,대통령,0.0
617,대표,0.0
618,대표적,0.0
619,대학,0.0
620,대학교,0.0
621,대학교수,0.0
622,대학생,0.0
623,대학원,0.0
624,대합실,0.0
625,대형,0.0
626,대화,0.0
627,대회,0.0
628,더위,0.0
629,덕분,0.0
630,덩어리,0.0
631,데이트,0.0
632,도구,0.0
633,도덕,0.0
634,도둑,0.0
635,도로,0.0
636,도마,0.0
637,도망,0.0
638,도서관,0.0
639,도시,0.0
640,도시락,0.0
641,도심,0.0
642,도움,0.0
643,도움말,0.0
644,도입,0.0
645,도자기,0.0
646,도장,0.0
647,도전,0.0
648,도중,0.0
649,도착,0.0
650,독감,0.0
651,독립,0.0
652,독서,0.0
653,독일어,0.0
654,독창적,0.0
655,돌멩이,0.0
656,동그라미,0.0
657,동기,0.0
658,동네,0.0
659,동료,0.0
660,동물,0.0
661,동물원,0.0
662,동부,0.0
663,동생,0.0
664,동서,0.0
665,동서남북,0.0
666,동시,0.0
667,동아리,0.0
668,동안,0.0
669,동양,0.0
670,동양인,0.0
671,동의,0.0
672,동작,0.0
673,동전,0.0
674,동쪽,0.0
675,동창,0.0
676,동포,0.0
677,동행,0.0
678,동화,0.0
679,동화책,0.0
680,돼지,0.0
681,돼지고기,0.0
682,된장,0.0
683,된장찌개,0.0
684,두께,0.0
685,두뇌,0.0
686,두려움,0.0
687,두부,0.0
688,두통,0.0
689,둥지,0.0
690,뒤쪽,0.0
691,뒤편,0.0
692,뒷골목,0.0
693,뒷모습,0.0
694,뒷문,0.0
695,뒷산,0.0
696,드라마,0.0
697,등록,0.0
698,등록금,0.0
699,등록증,0.0
700,등산,0.0
701,등산로,0.0
702,등장,0.0
703,디스크,0.0
704,디자이너,0.0
705,디자인,0.0
706,따님,0.0
707,딸기,0.0
708,딸아이,0.0
709,땅바닥,0.0
710,땅속,0.0
711,땅콩,0.0
712,떡국,0.0
713,떡볶이,0.0
714,뚜껑,0.0
715,뜻밖,0.0
716,라디오,0.0
717,라면,0.0
718,라운드,0.0
719,라이벌,0.0
720,라이터,0.0
721,라인,0.0
722,라켓,0.0
723,레몬,0.0
724,레스토랑,0.0
725,레이저,0.0
726,레저,0.0
727,렌즈,0.0
728,로봇,0.0
729,로터리,0.0
730,리그,0.0
731,리듬,0.0
732,마누라,0.0
733,마늘,0.0
734,마당,0.0
735,마디,0.0
736,마라톤,0.0
737,마련,0.0
738,마루,0.0
739,마무리,0.0
740,마사지,0.0
741,마약,0.0
742,마요네즈,0.0
743,마을,0.0
744,마음,0.0
745,마음가짐,0.0
746,마음속,0.0
747,마음씨,0.0
748,마이크,0.0
749,마중,0.0
750,마지막,0.0
751,마찬가지,0.0
752,마찰,0.0
753,마크,0.0
754,막걸리,0.0
755,막내,0.0
756,만남,0.0
757,만두,0.0
758,만세,0.0
759,만약,0.0
760,만일,0.0
761,만점,0.0
762,만족,0.0
763,만화,0.0
764,만화가,0.0
765,말기,0.0
766,말씀,0.0
767,말투,0.0
768,망원경,0.0
769,맞은편,0.0
770,매너,0.0
771,매력,0.0
772,매스컴,0.0
773,매일,0.0
774,매장,0.0
775,매체,0.0
776,맥주,0.0
777,머리,0.0
778,머리말,0.0
779,머리카락,0.0
780,머리칼,0.0
781,머릿속,0.0
782,먹이,0.0
783,먼지,0.0
784,메뉴,0.0
785,메모,0.0
786,메시지,0.0
787,메일,0.0
788,며느리,0.0
789,며칠,0.0
790,면담,0.0
791,면적,0.0
792,면접,0.0
793,멸치,0.0
794,명단,0.0
795,명령,0.0
796,명령어,0.0
797,명예,0.0
798,명의,0.0
799,명절,0.0
800,명칭,0.0
801,명함,0.0
802,모기,0.0
803,모니터,0.0
804,모델,0.0
805,모두,0.0
806,모래,0.0
807,모레,0.0
808,모범,0.0
809,모습,0.0
810,모양,0.0
811,모임,0.0
812,모자,0.0
813,모집,0.0
814,모퉁이,0.0
815,목걸이,0.0
816,목록,0.0
817,목사,0.0
818,목소리,0.0
819,목숨,0.0
820,목요일,0.0
821,목욕,0.0
822,목욕탕,0.0
823,목적,0.0
824,목표,0.0
825,몸매,0.0
826,몸무게,0.0
827,몸살,0.0
828,몸속,0.0
829,몸짓,0.0
830,몸통,0.0
831,묘사,0.0
832,무게,0.0
833,무관심,0.0
834,무궁화,0.0
835,무기,0.0
836,무늬,0.0
837,무대,0.0
838,무더위,0.0
839,무덤,0.0
840,무료,0.0
841,무릎,0.0
842,무리,0.0
843,무역,0.0
844,무용,0.0
845,무용가,0.0
846,무지개,0.0
847,문구,0.0
848,문밖,0.0
849,문법,0.0
850,문서,0.0
851,문어,0.0
852,문자,0.0
853,문장,0.0
854,문제,0.0
855,문제점,0.0
856,문학,0.0
857,문학적,0.0
858,문화,0.0
859,문화재,0.0
860,문화적,0.0
861,물가,0.0
862,물건,0.0
863,물결,0.0
864,물고기,0.0
865,물기,0.0
866,물론,0.0
867,물리학,0.0
868,물속,0.0
869,물음,0.0
870,물질,0.0
871,물질적,0.0
872,물체,0.0
873,미니,0.0
874,미디어,0.0
875,미래,0.0
876,미만,0.0
877,미사일,0.0
878,미소,0.0
879,미술,0.0
880,미술관,0.0
881,미스,0.0
882,미역,0.0
883,미용실,0.0
884,미움,0.0
885,미인,0.0
886,미팅,0.0
887,미혼,0.0
888,민간,0.0
889,민속,0.0
890,민족,0.0
891,민주,0.0
892,민주주의,0.0
893,민주화,0.0
894,믿음,0.0
895,밀가루,0.0
896,밑바닥,0.0
897,바가지,0.0
898,바구니,0.0
899,바깥,0.0
900,바깥쪽,0.0
901,바나나,0.0
902,바늘,0.0
903,바다,0.0
904,바닥,0.0
905,바닷가,0.0
906,바닷물,0.0
907,바람,0.0
908,바보,0.0
909,바위,0.0
910,바이러스,0.0
911,바이올린,0.0
912,바지,0.0
913,바퀴,0.0
914,바탕,0.0
915,박물관,0.0
916,박사,0.0
917,박수,0.0
918,박스,0.0
919,반대,0.0
920,반대편,0.0
921,반말,0.0
922,반면,0.0
923,반발,0.0
924,반성,0.0
925,반응,0.0
926,반장,0.0
927,반죽,0.0
928,반지,0.0
929,반찬,0.0
930,받침,0.0
931,발가락,0.0
932,발걸음,0.0
933,발견,0.0
934,발길,0.0
935,발끝,0.0
936,발달,0.0
937,발등,0.0
938,발레,0.0
939,발목,0.0
940,발바닥,0.0
941,발생,0.0
942,발음,0.0
943,발자국,0.0
944,발전,0.0
945,발톱,0.0
946,발표,0.0
947,밤낮,0.0
948,밤새,0.0
949,밤색,0.0
950,밤중,0.0
951,밤하늘,0.0
952,밥그릇,0.0
953,밥맛,0.0
954,밥상,0.0
955,밥솥,0.0
956,방면,0.0
957,방문,0.0
958,방바닥,0.0
959,방법,0.0
960,방송,0.0
961,방송국,0.0
962,방송사,0.0
963,방식,0.0
964,방안,0.0
965,방울,0.0
966,방지,0.0
967,방학,0.0
968,방해,0.0
969,방향,0.0
970,배경,0.0
971,배구,0.0
972,배꼽,0.0
973,배달,0.0
974,배드민턴,0.0
975,배우,0.0
976,배우자,0.0
977,배추,0.0
978,배추김치,0.0
979,배치,0.0
980,백색,0.0
981,백성,0.0
982,백인,0.0
983,백화점,0.0
984,뱃사람,0.0
985,버릇,0.0
986,버섯,0.0
987,버스,0.0
988,버터,0.0
989,버튼,0.0
990,번개,0.0
991,번역,0.0
992,번지,0.0
993,번호,0.0
994,벌금,0.0
995,벌레,0.0
996,범위,0.0
997,범인,0.0
998,범죄,0.0
999,법률,0.0
1000,법원,0.0
1001,법적,0.0
1002,법칙,0.0
1003,베개,0.0
1004,벤치,0.0
1005,벨트,0.0
1006,변경,0.0
1007,변동,0.0
1008,변명,0.0
1009,변신,0.0
1010,변호사,0.0
1011,변화,0.0
1012,별도,0.0
1013,별명,0.0
1014,별일,0.0
1015,병실,0.0
1016,병아리,0.0
1017,병원,0.0
1018,보고,0.0
1019,보고서,0.0
1020,보관,0.0
1021,보너스,0.0
1022,보도,0.0
1023,보라색,0.0
1024,보람,0.0
1025,보름,0.0
1026,보리,0.0
1027,보상,0.0
1028,보수,0.0
1029,보수적,0.0
1030,보안,0.0
1031,보자기,0.0
1032,보장,0.0
1033,보전,0.0
1034,보조,0.0
1035,보존,0.0
1036,보통,0.0
1037,보편적,0.0
1038,보험,0.0
1039,보호,0.0
1040,복도,0.0
1041,복사,0.0
1042,복사기,0.0
1043,복숭아,0.0
1044,복습,0.0
1045,볶음,0.0
1046,볶음밥,0.0
1047,본격적,0.0
1048,본래,0.0
1049,본부,0.0
1050,본사,0.0
1051,본성,0.0
1052,본인,0.0
1053,본질,0.0
1054,볼링,0.0
1055,볼일,0.0
1056,볼펜,0.0
1057,봉사,0.0
1058,봉지,0.0
1059,봉투,0.0
1060,부근,0.0
1061,부끄러움,0.0
1062,부담,0.0
1063,부대,0.0
1064,부동산,0.0
1065,부모,0.0
1066,부모님,0.0
1067,부문,0.0
1068,부부,0.0
1069,부분,0.0
1070,부분적,0.0
1071,부상,0.0
1072,부서,0.0
1073,부엌,0.0
1074,부위,0.0
1075,부인,0.0
1076,부자,0.0
1077,부작용,0.0
1078,부잣집,0.0
1079,부장,0.0
1080,부재,0.0
1081,부정,0.0
1082,부정적,0.0
1083,부족,0.0
1084,부채,0.0
1085,부처,0.0
1086,부친,0.0
1087,부탁,0.0
1088,부품,0.0
1089,부피,0.0
1090,부회장,0.0
1091,북부,0.0
1092,북쪽,0.0
1093,분노,0.0
1094,분량,0.0
1095,분리,0.0
1096,분석,0.0
1097,분야,0.0
1098,분위기,0.0
1099,분필,0.0
1100,분홍색,0.0
1101,불고기,0.0
1102,불교,0.0
1103,불꽃,0.0
1104,불만,0.0
1105,불법,0.0
1106,불빛,0.0
1107,불안,0.0
1108,불이익,0.0
1109,불편,0.0
1110,불평,0.0
1111,불행,0.0
1112,브랜드,0.0
1113,블라우스,0.0
1114,비교,0.0
1115,비극,0.0
1116,비난,0.0
1117,비누,0.0
1118,비닐,0.0
1119,비닐봉지,0.0
1120,비둘기,0.0
1121,비디오,0.0
1122,비만,0.0
1123,비명,0.0
1124,비밀,0.0
1125,비바람,0.0
1126,비빔밥,0.0
1127,비상,0.0
1128,비서,0.0
1129,비용,0.0
1130,비율,0.0
1131,비중,0.0
1132,비타민,0.0
1133,비판,0.0
1134,비판적,0.0
1135,비행,0.0
1136,비행기,0.0
1137,비행장,0.0
1138,빌딩,0.0
1139,빗물,0.0
1140,빗방울,0.0
1141,빗줄기,0.0
1142,빛깔,0.0
1143,빨간색,0.0
1144,빨래,0.0
1145,뿌리,0.0
1146,사건,0.0
1147,사계절,0.0
1148,사고,0.0
1149,사과,0.0
1150,사기,0.0
1151,사나이,0.0
1152,사냥,0.0
1153,사람,0.0
1154,사랑,0.0
1155,사례,0.0
1156,사립,0.0
1157,사망,0.0
1158,사모님,0.0
1159,사무,0.0
1160,사무소,0.0
1161,사무실,0.0
1162,사무직,0.0
1163,사물,0.0
1164,사방,0.0
1165,사상,0.0
1166,사생활,0.0
1167,사설,0.0
1168,사슴,0.0
1169,사실,0.0
1170,사업,0.0
1171,사업가,0.0
1172,사업자,0.0
1173,사용,0.0
1174,사용자,0.0
1175,사원,0.0
1176,사월,0.0
1177,사위,0.0
1178,사이,0.0
1179,사이사이,0.0
1180,사자,0.0
1181,사장,0.0
1182,사전,0.0
1183,사정,0.0
1184,사진,0.0
1185,사진기,0.0
1186,사촌,0.0
1187,사춘기,0.0
1188,사탕,0.0
1189,사투리,0.0
1190,사표,0.0
1191,사회,0.0
1192,사회생활,0.0
1193,사회자,0.0
1194,사회적,0.0
1195,사회주의,0.0
1196,사회학,0.0
1197,사흘,0.0
1198,산길,0.0
1199,산부인과,0.0
1200,산소,0.0
1201,산속,0.0
1202,산업,0.0
1203,산책,0.0
1204,살림,0.0
1205,살인,0.0
1206,삼계탕,0.0
1207,삼국,0.0
1208,삼월,0.0
1209,삼촌,0.0
1210,상관,0.0
1211,상금,0.0
1212,상담,0.0
1213,상당,0.0
1214,상당수,0.0
1215,상대,0.0
1216,상대방,0.0
1217,상대성,0.0
1218,상대적,0.0
1219,상대편,0.0
1220,상류,0.0
1221,상반기,0.0
1222,상상,0.0
1223,상상력,0.0
1224,상식,0.0
1225,상업,0.0
1226,상인,0.0
1227,상자,0.0
1228,상점,0.0
1229,상징적,0.0
1230,상처,0.0
1231,상추,0.0
1232,상태,0.0
1233,상표,0.0
1234,상품,0.0
1235,상황,0.0
1236,새끼,0.0
1237,새벽,0.0
1238,새소리,0.0
1239,새우,0.0
1240,새해,0.0
1241,색깔,0.0
1242,색연필,0.0
1243,샌드위치,0.0
1244,생각,0.0
1245,생기,0.0
1246,생명,0.0
1247,생물,0.0
1248,생방송,0.0
1249,생산,0.0
1250,생산력,0.0
1251,생산자,0.0
1252,생선,0.0
1253,생신,0.0
1254,생일,0.0
1255,생활,0.0
1256,생활비,0.0
1257,생활수준,0.0
1258,생활용품,0.0
1259,생활환경,0.0
1260,샤워,0.0
1261,서구,0.0
1262,서랍,0.0
1263,서로,0.0
1264,서류,0.0
1265,서명,0.0
1266,서민,0.0
1267,서부,0.0
1268,서비스,0.0
1269,서양,0.0
1270,서양인,0.0
1271,서적,0.0
1272,서점,0.0
1273,서쪽,0.0
1274,서클,0.0
1275,석사,0.0
1276,석유,0.0
1277,선거,0.0
1278,선물,0.0
1279,선배,0.0
1280,선생,0.0
1281,선생님,0.0
1282,선수,0.0
1283,선원,0.0
1284,선장,0.0
1285,선전,0.0
1286,선진,0.0
1287,선진국,0.0
1288,선택,0.0
1289,선풍기,0.0
1290,설거지,0.0
1291,설날,0.0
1292,설렁탕,0.0
1293,설명,0.0
1294,설문,0.0
1295,설치,0.0
1296,설탕,0.0
1297,섭씨,0.0
1298,성격,0.0
1299,성경,0.0
1300,성공,0.0
1301,성공적,0.0
1302,성당,0.0
1303,성명,0.0
1304,성별,0.0
1305,성인,0.0
1306,성장,0.0
1307,성적,0.0
1308,성질,0.0
1309,성함,0.0
1310,세계,0.0
1311,세계관,0.0
1312,세계적,0.0
1313,세금,0.0
1314,세기,0.0
1315,세대,0.0
1316,세로,0.0
1317,세미나,0.0
1318,세상,0.0
1319,세수,0.0
1320,세월,0.0
1321,세제,0.0
1322,세탁,0.0
1323,세탁기,0.0
1324,세탁소,0.0
1325,세트,0.0
1326,센터,0.0
1327,소개,0.0
1328,소규모,0.0
1329,소극적,0.0
1330,소금,0.0
1331,소나기,0.0
1332,소나무,0.0
1333,소녀,0.0
1334,소년,0.0
1335,소득,0.0
1336,소리,0.0
1337,소망,0.0
1338,소매,0.0
1339,소문,0.0
1340,소비,0.0
1341,소비자,0.0
1342,소설,0.0
1343,소설가,0.0
1344,소속,0.0
1345,소수,0.0
1346,소스,0.0
1347,소시지,0.0
1348,소식,0.0
1349,소아과,0.0
1350,소용,0.0
1351,소원,0.0
1352,소유,0.0
1353,소유자,0.0
1354,소음,0.0
1355,소재,0.0
1356,소주,0.0
1357,소지품,0.0
1358,소질,0.0
1359,소파,0.0
1360,소포,0.0
1361,소풍,0.0
1362,소프트웨어,0.0
1363,소형,0.0
1364,소화,0.0
1365,속담,0.0
1366,속도,0.0
1367,속마음,0.0
1368,속옷,0.0
1369,손가락,0.0
1370,손길,0.0
1371,손녀,0.0
1372,손님,0.0
1373,손등,0.0
1374,손목,0.0
1375,손바닥,0.0
1376,손발,0.0
1377,손뼉,0.0
1378,손수건,0.0
1379,손실,0.0
1380,손자,0.0
1381,손잡이,0.0
1382,손질,0.0
1383,손톱,0.0
1384,손해,0.0
1385,솜씨,0.0
1386,송아지,0.0
1387,송이,0.0
1388,송편,0.0
1389,쇠고기,0.0
1390,쇼핑,0.0
1391,수건,0.0
1392,수고,0.0
1393,수년,0.0
1394,수단,0.0
1395,수도,0.0
1396,수도권,0.0
1397,수도꼭지,0.0
1398,수돗물,0.0
1399,수동적,0.0
1400,수면,0.0
1401,수명,0.0
1402,수박,0.0
1403,수상,0.0
1404,수석,0.0
1405,수술,0.0
1406,수업,0.0
1407,수염,0.0
1408,수영,0.0
1409,수영장,0.0
1410,수요,0.0
1411,수요일,0.0
1412,수입,0.0
1413,수입품,0.0
